[2024-07-05 21:19:17.602903]; Lat: -33.458248; Long: -70.662046; Alt: 552.227;
[2024-07-05 21:19:18.609235]; Lat: -33.45825; Long: -70.662045; Alt: 552.21;
[2024-07-05 21:19:19.614840]; Lat: -33.45825; Long: -70.662045; Alt: 552.21;
[2024-07-05 21:19:20.619066]; Lat: -33.45825; Long: -70.662045; Alt: 552.21;
[2024-07-05 21:19:21.625102]; Lat: -33.45825; Long: -70.662046; Alt: 552.418;
[2024-07-05 21:19:22.630596]; Lat: -33.45825; Long: -70.662046; Alt: 552.418;
[2024-07-05 21:19:23.633685]; Lat: -33.45825; Long: -70.662046; Alt: 552.418;
[2024-07-05 21:19:24.639775]; Lat: -33.458251; Long: -70.662046; Alt: 552.551;
[2024-07-05 21:19:25.645398]; Lat: -33.458251; Long: -70.662046; Alt: 552.551;
[2024-07-05 21:19:26.648330]; Lat: -33.458251; Long: -70.662046; Alt: 552.551;
[2024-07-05 21:19:27.654335]; Lat: -33.45825; Long: -70.662046; Alt: 552.488;
[2024-07-05 21:19:28.659800]; Lat: -33.45825; Long: -70.662046; Alt: 552.488;
[2024-07-05 21:19:29.662868]; Lat: -33.45825; Long: -70.662046; Alt: 552.488;
[2024-07-05 21:19:30.670381]; Lat: -33.45825; Long: -70.662046; Alt: 552.471;
[2024-07-05 21:19:31.675977]; Lat: -33.45825; Long: -70.662046; Alt: 552.471;
[2024-07-05 21:19:32.678907]; Lat: -33.45825; Long: -70.662046; Alt: 552.471;
[2024-07-05 21:19:33.684850]; Lat: -33.45825; Long: -70.662046; Alt: 552.413;
[2024-07-05 21:19:34.690396]; Lat: -33.45825; Long: -70.662046; Alt: 552.413;
[2024-07-05 21:19:35.693514]; Lat: -33.45825; Long: -70.662046; Alt: 552.413;
[2024-07-05 21:19:36.699594]; Lat: -33.458251; Long: -70.662046; Alt: 552.498;
[2024-07-05 21:19:37.705213]; Lat: -33.458251; Long: -70.662046; Alt: 552.498;
[2024-07-05 21:19:38.708097]; Lat: -33.458251; Long: -70.662046; Alt: 552.498;
[2024-07-05 21:19:39.714081]; Lat: -33.458251; Long: -70.662046; Alt: 552.504;
