Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.00, Y: -8.25, Z: -25.65 uT

[2024-07-08 19:23:44.657330]Acceleration: X:6.43, Y: 1.70, Z: 7.37 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.30, Y: -9.00, Z: -24.45 uT

[2024-07-08 19:23:45.687723]Acceleration: X:6.53, Y: 1.71, Z: 7.39 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.40, Y: -9.60, Z: -26.25 uT

[2024-07-08 19:23:46.718093]Acceleration: X:6.45, Y: 1.65, Z: 7.40 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.60, Y: -8.85, Z: -25.80 uT

[2024-07-08 19:23:47.748293]Acceleration: X:6.60, Y: 1.69, Z: 7.25 m/s^2
Gyro X:0.01, Y: 0.02, Z: 0.01 rads/s
Magnetometer X:8.10, Y: -8.40, Z: -25.80 uT

[2024-07-08 19:23:48.778520]Acceleration: X:6.52, Y: 1.75, Z: 7.34 m/s^2
Gyro X:0.01, Y: 0.02, Z: 0.01 rads/s
Magnetometer X:9.30, Y: -9.45, Z: -26.40 uT

[2024-07-08 19:23:51.315583]Acceleration: X:6.51, Y: 1.70, Z: 7.37 m/s^2
Gyro X:-0.01, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:9.15, Y: -8.40, Z: -24.75 uT

[2024-07-08 19:23:52.345830]Acceleration: X:6.45, Y: 1.69, Z: 7.37 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:10.50, Y: -8.55, Z: -24.15 uT

[2024-07-08 19:23:53.376223]Acceleration: X:6.51, Y: 1.67, Z: 7.37 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.15, Y: -7.95, Z: -25.50 uT

[2024-07-08 19:23:54.406459]Acceleration: X:6.55, Y: 1.79, Z: 7.31 m/s^2
Gyro X:0.01, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.40, Y: -8.40, Z: -24.75 uT

[2024-07-08 19:23:55.436669]Acceleration: X:6.48, Y: 1.77, Z: 7.39 m/s^2
Gyro X:0.01, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.60, Y: -8.40, Z: -25.05 uT

[2024-07-08 19:23:57.973816]Acceleration: X:6.50, Y: 1.63, Z: 7.36 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.90, Y: -9.15, Z: -25.50 uT
